codigo,detalle,costo,alicuota_iva,punto_pedido,marca,rubro,codigo_barra
0986AF5273,FILTRO DE AIRE BOSCH 0986AF5273,21300,21,8,Bosch,FILTROS,7792000000047
CA6925,FILTRO DE AIRE FRAM CA6925,5800,21,20,Fram,FILTROS,7792000000048
LX2666,FILTRO DE AIRE MAHLE LX2666,5300,21,12,Mahle,FILTROS,7792000000049
WO5217,FILTRO DE COMBUSTIBLE WEGA WO5217,20900,21,8,Wega,FILTROS,7792000000050
JFC176,FILTRO DE ACEITE WEGA JFC176,20000,21,6,Wega,FILTROS,7792000000051
PH7120,FILTRO DE ACEITE FRAM PH7120,7400,21,20,Fram,FILTROS,7792000000052
CA7661,FILTRO DE ACEITE FRAM CA7661,5800,21,24,Fram,FILTROS,7792000000053
WO3980,FILTRO DE COMBUSTIBLE WEGA WO3980,5900,21,16,Wega,FILTROS,7792000000054
C1361,FILTRO DE ACEITE MANN C1361,16600,21,10,Mann,FILTROS,7792000000055
CU1678,FILTRO DE ACEITE MANN CU1678,13400,21,6,Mann,FILTROS,7792000000056
W628/63,FILTRO DE COMBUSTIBLE MANN W628/63,17100,21,8,Mann,FILTROS,7792000000057
PH3123,FILTRO DE HABITACULO FRAM PH3123,6300,21,24,Fram,FILTROS,7792000000058
JFC375,FILTRO DE HABITACULO WEGA JFC375,9400,21,12,Wega,FILTROS,7792000000059
OC393,FILTRO DE AIRE MAHLE OC393,7900,21,16,Mahle,FILTROS,7792000000060
PH8939,FILTRO DE ACEITE FRAM PH8939,12100,21,8,Fram,FILTROS,7792000000061
C1714,FILTRO DE ACEITE MANN C1714,19700,21,6,Mann,FILTROS,7792000000062
JFC856,FILTRO DE ACEITE WEGA JFC856,15200,21,10,Wega,FILTROS,7792000000063
OC398,FILTRO DE AIRE MAHLE OC398,15200,21,10,Mahle,FILTROS,7792000000064
OC612,FILTRO DE COMBUSTIBLE MAHLE OC612,14700,21,6,Mahle,FILTROS,7792000000065
PH9399,FILTRO DE ACEITE FRAM PH9399,11600,21,10,Fram,FILTROS,7792000000066
PH6693,FILTRO DE COMBUSTIBLE FRAM PH6693,8600,21,20,Fram,FILTROS,7792000000067
0986TB9460,FILTRO DE COMBUSTIBLE BOSCH 0986TB9460,9700,21,20,Bosch,FILTROS,7792000000068
CU3070,FILTRO DE COMBUSTIBLE MANN CU3070,16900,21,8,Mann,FILTROS,7792000000069
LX2936,FILTRO DE HABITACULO MAHLE LX2936,17900,21,8,Mahle,FILTROS,7792000000070
WK122,FILTRO DE COMBUSTIBLE MANN WK122,5900,21,16,Mann,FILTROS,7792000000071
PH6778,FILTRO DE AIRE FRAM PH6778,17600,21,6,Fram,FILTROS,7792000000072
JFC265,FILTRO DE ACEITE WEGA JFC265,20900,21,10,Wega,FILTROS,7792000000073
W613/70,FILTRO DE AIRE MANN W613/70,9100,21,20,Mann,FILTROS,7792000000074
CA4668,FILTRO DE COMBUSTIBLE FRAM CA4668,7400,21,20,Fram,FILTROS,7792000000075
WO6183,FILTRO DE COMBUSTIBLE WEGA WO6183,9600,21,20,Wega,FILTROS,7792000000076
JFC687,FILTRO DE AIRE WEGA JFC687,11300,21,10,Wega,FILTROS,7792000000077
W788/70,FILTRO DE COMBUSTIBLE MANN W788/70,18400,21,8,Mann,FILTROS,7792000000078
LX2610,FILTRO DE AIRE MAHLE LX2610,20000,21,10,Mahle,FILTROS,7792000000079
LX1799,FILTRO DE AIRE MAHLE LX1799,11600,21,6,Mahle,FILTROS,7792000000080
WO5849,FILTRO DE HABITACULO WEGA WO5849,16400,21,8,Wega,FILTROS,7792000000081
OC343,FILTRO DE COMBUSTIBLE MAHLE OC343,17900,21,8,Mahle,FILTROS,7792000000082
CU2525,FILTRO DE HABITACULO MANN CU2525,17300,21,6,Mann,FILTROS,7792000000083
LX1033,FILTRO DE COMBUSTIBLE MAHLE LX1033,8500,21,12,Mahle,FILTROS,7792000000084
LX395,FILTRO DE ACEITE MAHLE LX395,16800,21,6,Mahle,FILTROS,7792000000085
C2437,FILTRO DE AIRE MANN C2437,6600,21,24,Mann,FILTROS,7792000000086
JFC486,FILTRO DE ACEITE WEGA JFC486,10000,21,10,Wega,FILTROS,7792000000087
W694/17,FILTRO DE ACEITE MANN W694/17,13800,21,6,Mann,FILTROS,7792000000088
JFC478,FILTRO DE AIRE WEGA JFC478,6900,21,24,Wega,FILTROS,7792000000089
W935/63,FILTRO DE AIRE MANN W935/63,17000,21,6,Mann,FILTROS,7792000000090
LX2809,FILTRO DE COMBUSTIBLE MAHLE LX2809,5100,21,16,Mahle,FILTROS,7792000000091
0986TB1876,FILTRO DE AIRE BOSCH 0986TB1876,20500,21,8,Bosch,FILTROS,7792000000092
CA4438,FILTRO DE ACEITE FRAM CA4438,19800,21,10,Fram,FILTROS,7792000000093
LX1733,FILTRO DE HABITACULO MAHLE LX1733,6500,21,16,Mahle,FILTROS,7792000000094
LX432,FILTRO DE AIRE MAHLE LX432,17700,21,10,Mahle,FILTROS,7792000000095
CU2833,FILTRO DE AIRE MANN CU2833,15800,21,8,Mann,FILTROS,7792000000096
WO2187,FILTRO DE AIRE WEGA WO2187,14100,21,6,Wega,FILTROS,7792000000097
WK499,FILTRO DE HABITACULO MANN WK499,9200,21,20,Mann,FILTROS,7792000000098
W647/65,FILTRO DE COMBUSTIBLE MANN W647/65,10500,21,6,Mann,FILTROS,7792000000099
CU2165,FILTRO DE COMBUSTIBLE MANN CU2165,15100,21,6,Mann,FILTROS,7792000000100
C3595,FILTRO DE HABITACULO MANN C3595,15700,21,6,Mann,FILTROS,7792000000101
0986B01256,FILTRO DE HABITACULO BOSCH 0986B01256,10000,21,6,Bosch,FILTROS,7792000000102
CU1948,FILTRO DE HABITACULO MANN CU1948,14300,21,6,Mann,FILTROS,7792000000103
PH9262,FILTRO DE ACEITE FRAM PH9262,7200,21,20,Fram,FILTROS,7792000000104
JFC837,FILTRO DE ACEITE WEGA JFC837,6300,21,16,Wega,FILTROS,7792000000105
CU3443,FILTRO DE ACEITE MANN CU3443,11900,21,6,Mann,FILTROS,7792000000106
0986AF3336,FILTRO DE COMBUSTIBLE BOSCH 0986AF3336,16800,21,6,Bosch,FILTROS,7792000000107
OC952,FILTRO DE HABITACULO MAHLE OC952,20500,21,8,Mahle,FILTROS,7792000000108
LX2770,FILTRO DE COMBUSTIBLE MAHLE LX2770,11800,21,10,Mahle,FILTROS,7792000000109
JFC157,FILTRO DE ACEITE WEGA JFC157,10900,21,6,Wega,FILTROS,7792000000110
OC882,FILTRO DE AIRE MAHLE OC882,9500,21,12,Mahle,FILTROS,7792000000111
CA3723,FILTRO DE HABITACULO FRAM CA3723,15800,21,6,Fram,FILTROS,7792000000112
JFC848,FILTRO DE AIRE WEGA JFC848,20500,21,10,Wega,FILTROS,7792000000113
LX3117,FILTRO DE AIRE MAHLE LX3117,15900,21,8,Mahle,FILTROS,7792000000114
WO1456,FILTRO DE HABITACULO WEGA WO1456,10600,21,10,Wega,FILTROS,7792000000115
JFC918,FILTRO DE HABITACULO WEGA JFC918,14800,21,8,Wega,FILTROS,7792000000116
WK671,FILTRO DE ACEITE MANN WK671,17300,21,6,Mann,FILTROS,7792000000117
LX1989,FILTRO DE COMBUSTIBLE MAHLE LX1989,13800,21,8,Mahle,FILTROS,7792000000118
LX192,FILTRO DE HABITACULO MAHLE LX192,9600,21,12,Mahle,FILTROS,7792000000119
LX2423,FILTRO DE AIRE MAHLE LX2423,10500,21,6,Mahle,FILTROS,7792000000120
W887/55,FILTRO DE COMBUSTIBLE MANN W887/55,8800,21,12,Mann,FILTROS,7792000000121
OC543,FILTRO DE ACEITE MAHLE OC543,6400,21,24,Mahle,FILTROS,7792000000122
0986TB2752,FILTRO DE HABITACULO BOSCH 0986TB2752,21400,21,10,Bosch,FILTROS,7792000000123
CA3523,FILTRO DE ACEITE FRAM CA3523,14200,21,8,Fram,FILTROS,7792000000124
CU1997,FILTRO DE COMBUSTIBLE MANN CU1997,14400,21,8,Mann,FILTROS,7792000000125
LX484,FILTRO DE COMBUSTIBLE MAHLE LX484,20800,21,6,Mahle,FILTROS,7792000000126
C2827,FILTRO DE AIRE MANN C2827,10800,21,10,Mann,FILTROS,7792000000127
PH3688,FILTRO DE COMBUSTIBLE FRAM PH3688,5000,21,12,Fram,FILTROS,7792000000128
WO9658,FILTRO DE COMBUSTIBLE WEGA WO9658,16700,21,10,Wega,FILTROS,7792000000129
C1881,FILTRO DE ACEITE MANN C1881,6000,21,20,Mann,FILTROS,7792000000130
OC333,FILTRO DE AIRE MAHLE OC333,10500,21,10,Mahle,FILTROS,7792000000131
C2854,FILTRO DE COMBUSTIBLE MANN C2854,5800,21,24,Mann,FILTROS,7792000000132
CA3603,FILTRO DE COMBUSTIBLE FRAM CA3603,19500,21,8,Fram,FILTROS,7792000000133
WK394,FILTRO DE AIRE MANN WK394,5600,21,12,Mann,FILTROS,7792000000134
CA7161,FILTRO DE ACEITE FRAM CA7161,16400,21,10,Fram,FILTROS,7792000000135
WO9666,FILTRO DE HABITACULO WEGA WO9666,15500,21,8,Wega,FILTROS,7792000000136
CU3482,FILTRO DE AIRE MANN CU3482,16100,21,6,Mann,FILTROS,7792000000137
WO8921,FILTRO DE AIRE WEGA WO8921,9100,21,12,Wega,FILTROS,7792000000138
C2989,FILTRO DE ACEITE MANN C2989,15200,21,8,Mann,FILTROS,7792000000139
WO2892,FILTRO DE AIRE WEGA WO2892,9400,21,24,Wega,FILTROS,7792000000140
LX1666,FILTRO DE HABITACULO MAHLE LX1666,9800,21,24,Mahle,FILTROS,7792000000141
WO9042,FILTRO DE AIRE WEGA WO9042,5500,21,24,Wega,FILTROS,7792000000142
WO9417,FILTRO DE COMBUSTIBLE WEGA WO9417,21300,21,8,Wega,FILTROS,7792000000143
LX1527,FILTRO DE AIRE MAHLE LX1527,17800,21,8,Mahle,FILTROS,7792000000144
OC704,FILTRO DE COMBUSTIBLE MAHLE OC704,7400,21,16,Mahle,FILTROS,7792000000145
0986TB6735,FILTRO DE HABITACULO BOSCH 0986TB6735,8700,21,16,Bosch,FILTROS,7792000000146
LX254,FILTRO DE HABITACULO MAHLE LX254,21900,21,10,Mahle,FILTROS,7792000000147
JFC474,FILTRO DE HABITACULO WEGA JFC474,19400,21,10,Wega,FILTROS,7792000000148
C2373,FILTRO DE COMBUSTIBLE MANN C2373,20500,21,8,Mann,FILTROS,7792000000149
PH3162,FILTRO DE HABITACULO FRAM PH3162,6400,21,12,Fram,FILTROS,7792000000150
CA7441,FILTRO DE AIRE FRAM CA7441,20200,21,6,Fram,FILTROS,7792000000151
LX1635,FILTRO DE HABITACULO MAHLE LX1635,20500,21,10,Mahle,FILTROS,7792000000152
PH5979,FILTRO DE AIRE FRAM PH5979,13100,21,10,Fram,FILTROS,7792000000153
OC89,FILTRO DE AIRE MAHLE OC89,16200,21,8,Mahle,FILTROS,7792000000154
WO5279,FILTRO DE COMBUSTIBLE WEGA WO5279,11500,21,8,Wega,FILTROS,7792000000155
JFC637,FILTRO DE ACEITE WEGA JFC637,9800,21,12,Wega,FILTROS,7792000000156
C1845,FILTRO DE COMBUSTIBLE MANN C1845,7700,21,12,Mann,FILTROS,7792000000157
C2028,FILTRO DE HABITACULO MANN C2028,7500,21,12,Mann,FILTROS,7792000000158
LX2433,FILTRO DE ACEITE MAHLE LX2433,12100,21,10,Mahle,FILTROS,7792000000159
JFC975,FILTRO DE ACEITE WEGA JFC975,16900,21,6,Wega,FILTROS,7792000000160
WO2616,FILTRO DE HABITACULO WEGA WO2616,10600,21,6,Wega,FILTROS,7792000000161
JFC829,FILTRO DE HABITACULO WEGA JFC829,9200,21,20,Wega,FILTROS,7792000000162
W873/61,FILTRO DE AIRE MANN W873/61,21800,21,10,Mann,FILTROS,7792000000163
WO3582,FILTRO DE ACEITE WEGA WO3582,6700,21,16,Wega,FILTROS,7792000000164
CA8529,FILTRO DE ACEITE FRAM CA8529,13200,21,8,Fram,FILTROS,7792000000165
0986B02649,FILTRO DE ACEITE BOSCH 0986B02649,17100,21,8,Bosch,FILTROS,7792000000166
CA6172,FILTRO DE ACEITE FRAM CA6172,14400,21,6,Fram,FILTROS,7792000000167
JFC851,FILTRO DE ACEITE WEGA JFC851,11700,21,10,Wega,FILTROS,7792000000168
JFC968,FILTRO DE HABITACULO WEGA JFC968,10000,21,10,Wega,FILTROS,7792000000169
0986B03530,FILTRO DE COMBUSTIBLE BOSCH 0986B03530,15400,21,6,Bosch,FILTROS,7792000000170
WO7486,FILTRO DE ACEITE WEGA WO7486,5000,21,16,Wega,FILTROS,7792000000171
LX3195,FILTRO DE AIRE MAHLE LX3195,21600,21,6,Mahle,FILTROS,7792000000172
CA3233,FILTRO DE ACEITE FRAM CA3233,7700,21,20,Fram,FILTROS,7792000000173
JFC982,FILTRO DE COMBUSTIBLE WEGA JFC982,10800,21,8,Wega,FILTROS,7792000000174
WK633,FILTRO DE HABITACULO MANN WK633,16000,21,6,Mann,FILTROS,7792000000175
CU2571,FILTRO DE COMBUSTIBLE MANN CU2571,8800,21,16,Mann,FILTROS,7792000000176
OC452,FILTRO DE HABITACULO MAHLE OC452,13200,21,6,Mahle,FILTROS,7792000000177
JFC555,FILTRO DE ACEITE WEGA JFC555,17500,21,10,Wega,FILTROS,7792000000178
OC844,FILTRO DE HABITACULO MAHLE OC844,17800,21,8,Mahle,FILTROS,7792000000179
LX813,FILTRO DE HABITACULO MAHLE LX813,18300,21,6,Mahle,FILTROS,7792000000180
LX2767,FILTRO DE COMBUSTIBLE MAHLE LX2767,16000,21,10,Mahle,FILTROS,7792000000181
W716/70,FILTRO DE HABITACULO MANN W716/70,6800,21,24,Mann,FILTROS,7792000000182
OC563,FILTRO DE HABITACULO MAHLE OC563,10000,21,10,Mahle,FILTROS,7792000000183
CA4638,FILTRO DE AIRE FRAM CA4638,12400,21,10,Fram,FILTROS,7792000000184
OC613,FILTRO DE COMBUSTIBLE MAHLE OC613,17000,21,8,Mahle,FILTROS,7792000000185
OC456,FILTRO DE AIRE MAHLE OC456,14500,21,10,Mahle,FILTROS,7792000000186
JFC834,FILTRO DE COMBUSTIBLE WEGA JFC834,6500,21,24,Wega,FILTROS,7792000000187
C2020,FILTRO DE HABITACULO MANN C2020,5500,21,12,Mann,FILTROS,7792000000188
OC623,FILTRO DE AIRE MAHLE OC623,6200,21,16,Mahle,FILTROS,7792000000189
LX2854,FILTRO DE AIRE MAHLE LX2854,8700,21,12,Mahle,FILTROS,7792000000190
PH3559,FILTRO DE COMBUSTIBLE FRAM PH3559,18800,21,6,Fram,FILTROS,7792000000191
W850/40,FILTRO DE HABITACULO MANN W850/40,20700,21,6,Mann,FILTROS,7792000000192
PH9653,FILTRO DE AIRE FRAM PH9653,14100,21,8,Fram,FILTROS,7792000000193
C2949,FILTRO DE ACEITE MANN C2949,5800,21,16,Mann,FILTROS,7792000000194
PH3453,FILTRO DE ACEITE FRAM PH3453,6100,21,24,Fram,FILTROS,7792000000195
0986AF5407,FILTRO DE HABITACULO BOSCH 0986AF5407,21500,21,8,Bosch,FILTROS,7792000000196
JFC388,FILTRO DE ACEITE WEGA JFC388,17600,21,10,Wega,FILTROS,7792000000197
PH7147,FILTRO DE ACEITE FRAM PH7147,10200,21,8,Fram,FILTROS,7792000000198
PH9042,FILTRO DE ACEITE FRAM PH9042,6700,21,24,Fram,FILTROS,7792000000199
CA7539,FILTRO DE HABITACULO FRAM CA7539,18700,21,10,Fram,FILTROS,7792000000200
CA9735,FILTRO DE ACEITE FRAM CA9735,18200,21,10,Fram,FILTROS,7792000000201
OC325,FILTRO DE HABITACULO MAHLE OC325,9400,21,16,Mahle,FILTROS,7792000000202
0986B01819,FILTRO DE AIRE BOSCH 0986B01819,10100,21,8,Bosch,FILTROS,7792000000203
OC940,FILTRO DE AIRE MAHLE OC940,9500,21,20,Mahle,FILTROS,7792000000204
0986TB1761,FILTRO DE AIRE BOSCH 0986TB1761,13900,21,10,Bosch,FILTROS,7792000000205
0986AF3097,FILTRO DE COMBUSTIBLE BOSCH 0986AF3097,11100,21,10,Bosch,FILTROS,7792000000206
CA9235,FILTRO DE COMBUSTIBLE FRAM CA9235,8400,21,20,Fram,FILTROS,7792000000207
OC494,FILTRO DE ACEITE MAHLE OC494,14400,21,10,Mahle,FILTROS,7792000000208
WO4017,FILTRO DE HABITACULO WEGA WO4017,14800,21,10,Wega,FILTROS,7792000000209
0986AF9737,FILTRO DE ACEITE BOSCH 0986AF9737,15200,21,6,Bosch,FILTROS,7792000000210
0986AF5802,FILTRO DE COMBUSTIBLE BOSCH 0986AF5802,6300,21,20,Bosch,FILTROS,7792000000211
LX802,FILTRO DE COMBUSTIBLE MAHLE LX802,5500,21,16,Mahle,FILTROS,7792000000212
LX2622,FILTRO DE COMBUSTIBLE MAHLE LX2622,5500,21,12,Mahle,FILTROS,7792000000213
PH8914,FILTRO DE AIRE FRAM PH8914,20700,21,8,Fram,FILTROS,7792000000214
OC791,FILTRO DE HABITACULO MAHLE OC791,21000,21,10,Mahle,FILTROS,7792000000215
WO5046,FILTRO DE AIRE WEGA WO5046,17800,21,8,Wega,FILTROS,7792000000216
WK778,FILTRO DE AIRE MANN WK778,20700,21,8,Mann,FILTROS,7792000000217
CA5591,FILTRO DE COMBUSTIBLE FRAM CA5591,14900,21,6,Fram,FILTROS,7792000000218
0986B07905,FILTRO DE COMBUSTIBLE BOSCH 0986B07905,10100,21,10,Bosch,FILTROS,7792000000219
WK83,FILTRO DE ACEITE MANN WK83,17000,21,8,Mann,FILTROS,7792000000220
LX2135,FILTRO DE COMBUSTIBLE MAHLE LX2135,6200,21,16,Mahle,FILTROS,7792000000221
JFC715,FILTRO DE HABITACULO WEGA JFC715,14200,21,8,Wega,FILTROS,7792000000222
CA6551,FILTRO DE ACEITE FRAM CA6551,11300,21,8,Fram,FILTROS,7792000000223
JFC136,FILTRO DE HABITACULO WEGA JFC136,7200,21,20,Wega,FILTROS,7792000000224
OC119,FILTRO DE ACEITE MAHLE OC119,20600,21,6,Mahle,FILTROS,7792000000225
PH7865,FILTRO DE HABITACULO FRAM PH7865,19800,21,6,Fram,FILTROS,7792000000226
OC845,FILTRO DE HABITACULO MAHLE OC845,19800,21,6,Mahle,FILTROS,7792000000227
JFC920,FILTRO DE ACEITE WEGA JFC920,15500,21,10,Wega,FILTROS,7792000000228
PH9134,FILTRO DE HABITACULO FRAM PH9134,11800,21,8,Fram,FILTROS,7792000000229
CA4030,FILTRO DE COMBUSTIBLE FRAM CA4030,10200,21,6,Fram,FILTROS,7792000000230
0986B04133,FILTRO DE HABITACULO BOSCH 0986B04133,9800,21,16,Bosch,FILTROS,7792000000231
CA8997,FILTRO DE COMBUSTIBLE FRAM CA8997,5200,21,12,Fram,FILTROS,7792000000232
WK422,FILTRO DE HABITACULO MANN WK422,12300,21,6,Mann,FILTROS,7792000000233
CA3627,FILTRO DE COMBUSTIBLE FRAM CA3627,7900,21,12,Fram,FILTROS,7792000000234
CA6219,FILTRO DE COMBUSTIBLE FRAM CA6219,15400,21,10,Fram,FILTROS,7792000000235
CA5129,FILTRO DE COMBUSTIBLE FRAM CA5129,20000,21,6,Fram,FILTROS,7792000000236
CA3555,FILTRO DE COMBUSTIBLE FRAM CA3555,9200,21,16,Fram,FILTROS,7792000000237
LX1555,FILTRO DE COMBUSTIBLE MAHLE LX1555,13300,21,6,Mahle,FILTROS,7792000000238
LX345,FILTRO DE HABITACULO MAHLE LX345,21400,21,10,Mahle,FILTROS,7792000000239
WO9032,FILTRO DE HABITACULO WEGA WO9032,12200,21,8,Wega,FILTROS,7792000000240
JFC490,FILTRO DE HABITACULO WEGA JFC490,10600,21,10,Wega,FILTROS,7792000000241
JFC926,FILTRO DE ACEITE WEGA JFC926,20500,21,6,Wega,FILTROS,7792000000242
OC766,FILTRO DE AIRE MAHLE OC766,7600,21,24,Mahle,FILTROS,7792000000243
WK655,FILTRO DE ACEITE MANN WK655,18300,21,6,Mann,FILTROS,7792000000244
PH8555,FILTRO DE ACEITE FRAM PH8555,7000,21,16,Fram,FILTROS,7792000000245
JFC502,FILTRO DE ACEITE WEGA JFC502,15000,21,10,Wega,FILTROS,7792000000246
C1379,FILTRO DE HABITACULO MANN C1379,20100,21,8,Mann,FILTROS,7792000000247
LX845,FILTRO DE COMBUSTIBLE MAHLE LX845,7400,21,24,Mahle,FILTROS,7792000000248
PH8022,FILTRO DE AIRE FRAM PH8022,18900,21,8,Fram,FILTROS,7792000000249
CA7066,FILTRO DE AIRE FRAM CA7066,17500,21,6,Fram,FILTROS,7792000000250
WK135,FILTRO DE COMBUSTIBLE MANN WK135,11900,21,6,Mann,FILTROS,7792000000251
WO7802,FILTRO DE ACEITE WEGA WO7802,20700,21,6,Wega,FILTROS,7792000000252
C3517,FILTRO DE HABITACULO MANN C3517,8800,21,16,Mann,FILTROS,7792000000253
PH7531,FILTRO DE AIRE FRAM PH7531,6000,21,16,Fram,FILTROS,7792000000254
