articulo_codigo,vehiculo_marca,vehiculo_modelo,vehiculo_anio_desde,vehiculo_anio_hasta,origen,confirmado,nota
JFC982,Ford,Fiesta,2011,2019,extraido_ia,0,
JFC982,Toyota,Yaris,2018,2024,extraido_ia,0,
LX2767,Fiat,Mobi,2017,2023,extraido_ia,0,
LX2767,Volkswagen,Suran,2010,2019,extraido_ia,0,
LX2767,Chevrolet,Onix,2016,2023,manual,1,
W716/70,Nissan,Frontier,2016,2023,manual,1,
W716/70,Fiat,Toro,2016,2023,extraido_ia,0,
W716/70,Renault,Kangoo,2010,2018,manual,1,
CA4638,Chevrolet,Tracker,2013,2020,manual,1,
C2949,Renault,Clio,2012,2016,extraido_ia,0,
C2949,Volkswagen,Saveiro,2010,2021,manual,1,
PH3453,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,
0986B01819,Ford,Ranger,2013,2022,extraido_ia,0,
OC494,Peugeot,208,2013,2020,manual,1,
OC494,Volkswagen,Saveiro,2010,2021,manual,1,
0986AF9737,Peugeot,308,2013,2020,extraido_ia,0,
0986AF9737,Fiat,Argo,2018,2024,manual,1,
LX802,Fiat,Strada,2014,2020,extraido_ia,0,
WK778,Ford,Territory,2021,2024,extraido_ia,0,
0986B07905,Citroën,C4 Lounge,2014,2020,extraido_ia,0,
0986B07905,Renault,Duster,2012,2022,extraido_ia,0,
WK83,Renault,Master,2015,2023,manual,1,
PH7865,Nissan,Frontier,2016,2023,manual,1,
CA4030,Fiat,Toro,2016,2023,manual,1,
0986B04133,Renault,Stepway,2016,2023,manual,1,
0986B04133,Fiat,Strada,2014,2020,extraido_ia,0,
WK422,Peugeot,Partner,2012,2020,manual,1,
WK422,Toyota,Etios,2013,2021,manual,1,
CA3627,Nissan,Frontier,2016,2023,extraido_ia,0,
CA3627,Peugeot,308,2013,2020,manual,1,
CA3627,Volkswagen,Amarok,2011,2022,extraido_ia,0,
JFC502,Toyota,Corolla,2014,2019,manual,1,
JFC502,Peugeot,2008,2016,2023,manual,1,
LX845,Renault,Clio,2012,2016,manual,1,
PH8022,Fiat,Siena,2010,2016,manual,1,
PH8022,Fiat,Strada,2014,2020,manual,1,
PH8022,Fiat,Uno,2011,2020,extraido_ia,0,
PH7531,Fiat,Strada,2014,2020,extraido_ia,0,
PH7531,Volkswagen,Vento,2011,2018,extraido_ia,0,
PH3274,Fiat,Palio,2012,2017,extraido_ia,0,
PH3274,Nissan,March,2014,2021,extraido_ia,0,
OC340,Nissan,Versa,2015,2022,manual,1,
WO2462,Peugeot,Partner,2012,2020,manual,1,
WO2462,Toyota,Etios,2013,2021,manual,1,
WO2462,Toyota,Yaris,2018,2024,manual,1,
OC779,Renault,Clio,2012,2016,manual,1,
OC779,Fiat,Strada,2014,2020,manual,1,
WK813,Toyota,SW4,2016,2023,extraido_ia,0,
LX2793,Citroën,Berlingo,2012,2020,manual,1,
LX2793,Fiat,Argo,2018,2024,extraido_ia,0,
JFC615,Toyota,Hilux,2016,2023,manual,1,
JFC615,Renault,Sandero,2015,2022,extraido_ia,0,
W721/5,Fiat,Palio,2012,2017,manual,1,
W721/5,Ford,Fiesta,2011,2019,manual,1,
OC695,Chevrolet,Onix,2016,2023,extraido_ia,0,
OC695,Nissan,Frontier,2016,2023,manual,1,
OC695,Fiat,Strada,2014,2020,extraido_ia,0,
JFC750,Volkswagen,Fox,2010,2018,manual,1,
0986AF5372,Chevrolet,Prisma,2013,2019,manual,1,
0986AF5372,Volkswagen,Fox,2010,2018,manual,1,
0986AF5372,Fiat,Cronos,2018,2024,manual,1,
0986B08179,Chevrolet,Cruze,2016,2023,manual,1,
JFC736,Chevrolet,Cruze,2016,2023,manual,1,
JFC736,Renault,Master,2015,2023,manual,1,
OC458,Peugeot,206,2009,2013,manual,1,
BD5661,Volkswagen,Saveiro,2010,2021,manual,1,
BD4134,Renault,Oroch,2018,2023,extraido_ia,0,
BD4134,Citroën,C3,2012,2020,extraido_ia,0,
BD4134,Ford,Fiesta,2011,2019,manual,1,
N582,Fiat,Siena,2010,2016,extraido_ia,0,
BD5680,Nissan,Versa,2015,2022,manual,1,
FVR1666,Ford,Focus,2013,2019,manual,1,
FVR1666,Volkswagen,Saveiro,2010,2021,manual,1,
FVR1666,Toyota,Etios,2013,2021,manual,1,
BD4928,Citroën,C3,2012,2020,manual,1,
NF165,Volkswagen,Suran,2010,2019,extraido_ia,0,
NF165,Ford,Territory,2021,2024,extraido_ia,0,
NF165,Ford,EcoSport,2013,2021,manual,1,
JTE828,Citroën,C3,2012,2020,manual,1,
JTE828,Ford,Focus,2013,2019,extraido_ia,0,
FVR1475,Renault,Kangoo,2010,2018,extraido_ia,0,
BD4104,Fiat,Strada,2014,2020,extraido_ia,0,
BD4104,Volkswagen,Amarok,2011,2022,manual,1,
BD4104,Volkswagen,Vento,2011,2018,extraido_ia,0,
JTE741,Nissan,March,2014,2021,extraido_ia,0,
N1266,Nissan,Frontier,2016,2023,extraido_ia,0,
N1266,Fiat,Toro,2016,2023,manual,1,
N1266,Citroën,C3,2012,2020,manual,1,
GDB1419,Peugeot,206,2009,2013,extraido_ia,0,
GDB1419,Nissan,Kicks,2017,2023,manual,1,
GDB1419,Toyota,Etios,2013,2021,extraido_ia,0,
N820,Fiat,Palio,2012,2017,extraido_ia,0,
BD4819,Peugeot,Partner,2012,2020,manual,1,
BD4819,Fiat,Strada,2014,2020,extraido_ia,0,
BD4819,Chevrolet,Cruze,2016,2023,extraido_ia,0,
FVR1664,Citroën,C4 Lounge,2014,2020,manual,1,
N1397,Peugeot,207 Compact,2011,2016,manual,1,
N1397,Volkswagen,Gol Trend,2013,2019,manual,1,
N1397,Chevrolet,Tracker,2013,2020,manual,1,
BD4323,Ford,Focus,2013,2019,extraido_ia,0,
BD4323,Peugeot,208,2013,2020,extraido_ia,0,
NF197,Nissan,Versa,2015,2022,manual,1,
NF197,Renault,Master,2015,2023,extraido_ia,0,
FDB1031,Peugeot,2008,2016,2023,manual,1,
FDB1031,Citroën,Berlingo,2012,2020,manual,1,
FDB1013,Peugeot,207 Compact,2011,2016,extraido_ia,0,
FDB1013,Fiat,Cronos,2018,2024,extraido_ia,0,
FVR1315,Volkswagen,Gol Trend,2013,2019,manual,1,
FVR1315,Fiat,Mobi,2017,2023,extraido_ia,0,
FVR1315,Fiat,Strada,2014,2020,manual,1,
JTE403,Fiat,Toro,2016,2023,manual,1,
FDB1908,Peugeot,308,2013,2020,manual,1,
FDB1908,Ford,Focus,2013,2019,manual,1,
N1430,Volkswagen,Saveiro,2010,2021,manual,1,
N1430,Chevrolet,S10,2012,2022,extraido_ia,0,
N1430,Peugeot,208,2013,2020,manual,1,
BD5010,Toyota,Hilux,2016,2023,extraido_ia,0,
BD5010,Volkswagen,Amarok,2011,2022,extraido_ia,0,
BD4999,Volkswagen,Saveiro,2010,2021,manual,1,
BD4999,Ford,Ranger,2013,2022,manual,1,
GDB1332,Peugeot,Partner,2012,2020,manual,1,
JTE686,Ford,Territory,2021,2024,manual,1,
JTE686,Ford,Ranger,2013,2022,manual,1,
JTE686,Renault,Duster,2012,2022,extraido_ia,0,
BD5099,Renault,Master,2015,2023,manual,1,
BD5099,Citroën,C3,2012,2020,manual,1,
BD5099,Ford,Territory,2021,2024,manual,1,
BD5384,Peugeot,207 Compact,2011,2016,extraido_ia,0,
BD5384,Fiat,Argo,2018,2024,extraido_ia,0,
FVR1468,Chevrolet,Onix,2016,2023,manual,1,
JTE409,Renault,Oroch,2018,2023,extraido_ia,0,
JTE409,Peugeot,206,2009,2013,manual,1,
FDB1458,Nissan,Frontier,2016,2023,manual,1,
FDB1458,Peugeot,206,2009,2013,manual,1,
FDB1458,Fiat,Mobi,2017,2023,extraido_ia,0,
BD5683,Renault,Kangoo,2010,2018,extraido_ia,0,
BD4588,Peugeot,308,2013,2020,manual,1,
NF329,Peugeot,208,2013,2020,extraido_ia,0,
NF329,Nissan,Frontier,2016,2023,manual,1,
NF329,Toyota,Etios,2013,2021,extraido_ia,0,
FDB1079,Renault,Oroch,2018,2023,manual,1,
BD5723,Renault,Oroch,2018,2023,extraido_ia,0,
BD5723,Nissan,March,2014,2021,extraido_ia,0,
FVR2017,Renault,Clio,2012,2016,extraido_ia,0,
FDB1543,Ford,Territory,2021,2024,manual,1,
FDB1543,Peugeot,206,2009,2013,manual,1,
FDB1543,Citroën,C4 Lounge,2014,2020,extraido_ia,0,
BD4079,Ford,Focus,2013,2019,extraido_ia,0,
BD4079,Renault,Master,2015,2023,extraido_ia,0,
N1158,Volkswagen,Suran,2010,2019,extraido_ia,0,
N1158,Renault,Sandero,2015,2022,extraido_ia,0,
NF315,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,
BD5162,Peugeot,308,2013,2020,manual,1,
BD5687,Fiat,Palio,2012,2017,extraido_ia,0,
BD5687,Chevrolet,Agile,2009,2016,manual,1,
BD5687,Peugeot,207 Compact,2011,2016,extraido_ia,0,
N1163,Ford,Territory,2021,2024,manual,1,
JTE257,Fiat,Palio,2012,2017,extraido_ia,0,
JTE257,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
JTE257,Chevrolet,Spin,2013,2020,extraido_ia,0,
BD5002,Renault,Kangoo,2010,2018,manual,1,
BD5002,Fiat,Cronos,2018,2024,extraido_ia,0,
BD5002,Ford,Territory,2021,2024,extraido_ia,0,
GDB2007,Chevrolet,Agile,2009,2016,extraido_ia,0,
GDB1257,Fiat,Siena,2010,2016,manual,1,
BD4491,Nissan,Kicks,2017,2023,extraido_ia,0,
BD4491,Citroën,C3,2012,2020,manual,1,
FDB1271,Nissan,Versa,2015,2022,manual,1,
FDB1271,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
FDB1271,Chevrolet,Tracker,2013,2020,manual,1,
N822,Toyota,Hilux,2016,2023,manual,1,
GDB1555,Volkswagen,Gol Trend,2013,2019,manual,1,
GDB1555,Toyota,SW4,2016,2023,manual,1,
GDB1555,Renault,Kangoo,2010,2018,manual,1,
N711,Chevrolet,S10,2012,2022,manual,1,
FVR1197,Toyota,SW4,2016,2023,extraido_ia,0,
FVR1197,Chevrolet,Spin,2013,2020,extraido_ia,0,
FVR1197,Chevrolet,Agile,2009,2016,manual,1,
NF296,Peugeot,208,2013,2020,manual,1,
NF296,Nissan,Kicks,2017,2023,extraido_ia,0,
NF296,Toyota,Corolla,2014,2019,manual,1,
JTE236,Volkswagen,Gol Power,2009,2013,extraido_ia,0,
JTE236,Peugeot,2008,2016,2023,extraido_ia,0,
JTE236,Citroën,Berlingo,2012,2020,manual,1,
GDB1511,Fiat,Siena,2010,2016,manual,1,
GDB1511,Volkswagen,Fox,2010,2018,manual,1,
FDB1112,Renault,Kangoo,2010,2018,manual,1,
FDB1112,Peugeot,207 Compact,2011,2016,manual,1,
N639,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,
BD4545,Nissan,Frontier,2016,2023,manual,1,
BD4545,Nissan,Kicks,2017,2023,extraido_ia,0,
BD4545,Volkswagen,Suran,2010,2019,manual,1,
BD5186,Ford,Ranger,2013,2022,manual,1,
BD5186,Volkswagen,Polo,2018,2024,extraido_ia,0,
BD5186,Toyota,SW4,2016,2023,manual,1,
JTE782,Chevrolet,Onix,2016,2023,manual,1,
JTE782,Nissan,Frontier,2016,2023,manual,1,
JTE782,Volkswagen,Amarok,2011,2022,manual,1,
BD4109,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
BD4109,Volkswagen,Polo,2018,2024,manual,1,
BD4109,Peugeot,2008,2016,2023,extraido_ia,0,
N1118,Chevrolet,Cruze,2016,2023,extraido_ia,0,
N1118,Nissan,Frontier,2016,2023,manual,1,
NF559,Ford,Fiesta,2011,2019,extraido_ia,0,
NF559,Ford,Focus,2013,2019,manual,1,
FVR1204,Citroën,C4 Lounge,2014,2020,manual,1,
FVR1204,Peugeot,206,2009,2013,manual,1,
FVR2044,Renault,Logan,2014,2021,extraido_ia,0,
FVR2044,Fiat,Uno,2011,2020,manual,1,
FVR2044,Volkswagen,Suran,2010,2019,manual,1,
FDB1593,Chevrolet,S10,2012,2022,extraido_ia,0,
BD5552,Citroën,Berlingo,2012,2020,extraido_ia,0,
GDB1460,Chevrolet,Corsa Classic,2009,2016,extraido_ia,0,
GDB1460,Renault,Oroch,2018,2023,manual,1,
FDB1630,Fiat,Strada,2014,2020,extraido_ia,0,
FDB1630,Volkswagen,Fox,2010,2018,manual,1,
GDB1253,Chevrolet,S10,2012,2022,extraido_ia,0,
N1409,Nissan,Frontier,2016,2023,extraido_ia,0,
GDB2106,Ford,Ka,2015,2021,extraido_ia,0,
GDB2106,Fiat,Argo,2018,2024,manual,1,
NF458,Volkswagen,Fox,2010,2018,manual,1,
NF458,Chevrolet,Tracker,2013,2020,manual,1,
NF458,Renault,Kangoo,2010,2018,manual,1,
JTE353,Toyota,Corolla,2014,2019,extraido_ia,0,
GDB1896,Renault,Clio,2012,2016,manual,1,
N1004,Chevrolet,Agile,2009,2016,manual,1,
N1004,Peugeot,208,2013,2020,extraido_ia,0,
N1004,Chevrolet,Onix,2016,2023,extraido_ia,0,
JTE569,Ford,Ka,2015,2021,manual,1,
JTE569,Toyota,Yaris,2018,2024,manual,1,
BD5430,Peugeot,2008,2016,2023,extraido_ia,0,
JTE637,Ford,Ka,2015,2021,manual,1,
JTE637,Volkswagen,Polo,2018,2024,extraido_ia,0,
JTE637,Chevrolet,Corsa Classic,2009,2016,manual,1,
FDB1934,Ford,Ranger,2013,2022,manual,1,
N1079,Renault,Stepway,2016,2023,manual,1,
NF376,Renault,Sandero,2015,2022,extraido_ia,0,
FDB2044,Renault,Kangoo,2010,2018,extraido_ia,0,
FVR1991,Volkswagen,Saveiro,2010,2021,manual,1,
FVR1991,Ford,EcoSport,2013,2021,manual,1,
GDB1628,Renault,Kangoo,2010,2018,manual,1,
GDB1628,Renault,Sandero,2015,2022,extraido_ia,0,
GDB1628,Renault,Oroch,2018,2023,manual,1,
29710,Volkswagen,Fox,2010,2018,manual,1,
29710,Fiat,Palio,2012,2017,extraido_ia,0,
29710,Ford,Ranger,2013,2022,extraido_ia,0,
4494,Renault,Kangoo,2010,2018,manual,1,
4494,Nissan,Frontier,2016,2023,manual,1,
CV9400,Toyota,Corolla,2014,2019,extraido_ia,0,
CV9400,Peugeot,308,2013,2020,extraido_ia,0,
CV9400,Fiat,Cronos,2018,2024,manual,1,
28231,Ford,Fiesta,2011,2019,manual,1,
28231,Peugeot,Partner,2012,2020,extraido_ia,0,
4308,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
4308,Toyota,Yaris,2018,2024,extraido_ia,0,
CV3190,Volkswagen,Gol Trend,2013,2019,manual,1,
CV3190,Chevrolet,Prisma,2013,2019,extraido_ia,0,
RA3629,Ford,EcoSport,2013,2021,extraido_ia,0,
RA3629,Ford,Fiesta,2011,2019,manual,1,
RA3629,Renault,Sandero,2015,2022,extraido_ia,0,
CV4352,Peugeot,Partner,2012,2020,manual,1,
CV4352,Toyota,Etios,2013,2021,manual,1,
CV2465,Renault,Stepway,2016,2023,extraido_ia,0,
CV2465,Ford,Fiesta,2011,2019,manual,1,
CV2465,Citroën,C3,2012,2020,extraido_ia,0,
G16453,Volkswagen,Suran,2010,2019,manual,1,
G16453,Chevrolet,Prisma,2013,2019,manual,1,
E1392,Chevrolet,Onix,2016,2023,manual,1,
E1829,Volkswagen,Gol Trend,2013,2019,manual,1,
CV1199,Chevrolet,Onix,2016,2023,extraido_ia,0,
CV1199,Fiat,Toro,2016,2023,manual,1,
1042,Citroën,Berlingo,2012,2020,manual,1,
G16200,Ford,Territory,2021,2024,extraido_ia,0,
G16200,Chevrolet,Spin,2013,2020,extraido_ia,0,
G16200,Toyota,Hilux,2016,2023,extraido_ia,0,
RA3366,Chevrolet,Spin,2013,2020,extraido_ia,0,
29426,Citroën,Berlingo,2012,2020,extraido_ia,0,
G16179,Fiat,Strada,2014,2020,manual,1,
G16179,Nissan,Versa,2015,2022,manual,1,
G16179,Volkswagen,Fox,2010,2018,manual,1,
28284,Nissan,Versa,2015,2022,manual,1,
28284,Fiat,Mobi,2017,2023,extraido_ia,0,
30413,Chevrolet,S10,2012,2022,manual,1,
4202,Renault,Clio,2012,2016,extraido_ia,0,
4202,Nissan,March,2014,2021,extraido_ia,0,
4202,Renault,Master,2015,2023,manual,1,
CV3123,Renault,Kangoo,2010,2018,manual,1,
CV3123,Toyota,Corolla,2014,2019,manual,1,
E1317,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
2940,Renault,Duster,2012,2022,manual,1,
2940,Fiat,Mobi,2017,2023,manual,1,
2940,Renault,Master,2015,2023,manual,1,
G16845,Ford,Ka,2015,2021,extraido_ia,0,
G16845,Chevrolet,S10,2012,2022,manual,1,
32895,Renault,Stepway,2016,2023,manual,1,
32895,Ford,Ka,2015,2021,manual,1,
RA3902,Toyota,Etios,2013,2021,manual,1,
RA3902,Peugeot,Partner,2012,2020,manual,1,
RA3902,Chevrolet,Agile,2009,2016,extraido_ia,0,
30334,Peugeot,Partner,2012,2020,manual,1,
30334,Fiat,Cronos,2018,2024,manual,1,
32740,Toyota,Yaris,2018,2024,manual,1,
32740,Volkswagen,Gol Power,2009,2013,manual,1,
3073,Volkswagen,Amarok,2011,2022,manual,1,
29211,Volkswagen,Gol Power,2009,2013,manual,1,
29211,Renault,Oroch,2018,2023,manual,1,
29211,Volkswagen,Vento,2011,2018,manual,1,
RA3584,Peugeot,Partner,2012,2020,extraido_ia,0,
RA3584,Citroën,Berlingo,2012,2020,extraido_ia,0,
4450,Citroën,C4 Lounge,2014,2020,manual,1,
4450,Fiat,Strada,2014,2020,extraido_ia,0,
3341,Nissan,Kicks,2017,2023,manual,1,
3341,Toyota,Corolla,2014,2019,manual,1,
3341,Toyota,Hilux,2016,2023,manual,1,
2775,Peugeot,Partner,2012,2020,manual,1,
2775,Ford,Fiesta,2011,2019,manual,1,
4774,Nissan,March,2014,2021,manual,1,
4774,Chevrolet,Cruze,2016,2023,manual,1,
3344,Nissan,Frontier,2016,2023,extraido_ia,0,
CV6076,Toyota,Hilux,2016,2023,extraido_ia,0,
CV6076,Fiat,Argo,2018,2024,extraido_ia,0,
CV6076,Chevrolet,Onix,2016,2023,manual,1,
E1689,Toyota,Etios,2013,2021,extraido_ia,0,
31976,Ford,Ranger,2013,2022,manual,1,
31976,Peugeot,206,2009,2013,extraido_ia,0,
3827,Ford,Ranger,2013,2022,manual,1,
3827,Nissan,March,2014,2021,manual,1,
G16781,Citroën,Berlingo,2012,2020,manual,1,
G16781,Fiat,Siena,2010,2016,manual,1,
335193,Toyota,Hilux,2016,2023,manual,1,
335193,Fiat,Cronos,2018,2024,extraido_ia,0,
G16476,Volkswagen,Saveiro,2010,2021,manual,1,
G16476,Toyota,SW4,2016,2023,manual,1,
CV1871,Chevrolet,Spin,2013,2020,manual,1,
CV3856,Volkswagen,Gol Power,2009,2013,extraido_ia,0,
CV3009,Volkswagen,Vento,2011,2018,manual,1,
